instance_id,family,size,full_status,mandatory_status,original_variables,reduced_variables,variables_removed,variable_reduction_fraction,original_requirements,reduced_requirements,requirements_removed,requirement_reduction_fraction,forced_selections,fixed_point_iterations,full_par2_seconds,mandatory_par2_seconds,log_par2_difference_full_minus_mandatory,full_node_count,mandatory_node_count,node_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-B-N064-R032-C04-X01,structured,N64-R32,SOLVED,SOLVED,64,9,55,0.859375,32,15,17,0.53125,1,58,5.98759125,1.502437542,1.3826003855255766,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X01/jump_highs_tagged_cover__full_fixed_point.toml,732fd7070315523e4b3f174bd5373d258916462b1620f1b8c8a55f302147c208,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X01/jump_highs_tagged_cover__mandatory_only.toml,724ae8909b09d7177135753ff8361abebbf39f6641a9ecdcc6f82ee911c5ef94
V2-B-N064-R032-C04-X02,structured,N64-R32,SOLVED,SOLVED,64,8,56,0.875,32,14,18,0.5625,1,60,5.11136725,1.937667417,0.9699820447411039,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X02/jump_highs_tagged_cover__full_fixed_point.toml,81a7834207e38033d5d93671ad19fb7c5a40e1094e1c1ab959af95b7132dd945,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C04-X02/jump_highs_tagged_cover__mandatory_only.toml,e8a41952a1fc8e3e73d19bf6d52b064fe2893b415faffea1db78b1624b493945
V2-B-N064-R032-C05-X01,structured,N64-R32,SOLVED,SOLVED,64,11,53,0.828125,32,18,14,0.4375,1,59,10.577056375,2.110188583,1.6119098429693708,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X01/jump_highs_tagged_cover__full_fixed_point.toml,4a8e22f2c72b750aa71a13662c69853f818f8dcbeb3e9a7f15cd4eb37250b86c,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X01/jump_highs_tagged_cover__mandatory_only.toml,23df9d83364a2686b2bf9759621126143cac8579e61264d93d53e91066dd3c65
V2-B-N064-R032-C05-X02,structured,N64-R32,SOLVED,SOLVED,64,10,54,0.84375,32,13,19,0.59375,1,60,7.924325,1.873251292,1.442261562661857,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X02/jump_highs_tagged_cover__full_fixed_point.toml,38e93912977bddef2986410693de2848372601f70b722fc96ed421c22fde5bc0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C05-X02/jump_highs_tagged_cover__mandatory_only.toml,3ca9d9b8c8628087ef2e1e91f3ac550c1d76e5b281a6f4a01c96ddc05a480b63
V2-B-N064-R032-C06-X01,structured,N64-R32,SOLVED,SOLVED,64,3,61,0.953125,32,3,29,0.90625,5,66,7.3825175,2.256987083,1.1850839303685567,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X01/jump_highs_tagged_cover__full_fixed_point.toml,c9198460a278274c4829912c39a56c9a0f88db011e956d19d962d52fd9078de9,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X01/jump_highs_tagged_cover__mandatory_only.toml,990190d908aff51c103cc331003dd2a8eff659d0d02e14060862e1e53332c38c
V2-B-N064-R032-C06-X02,structured,N64-R32,SOLVED,SOLVED,64,3,61,0.953125,32,3,29,0.90625,5,68,6.850229708,1.55199325,1.4847421132017151,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X02/jump_highs_tagged_cover__full_fixed_point.toml,cf1fb978dd9eb0ea74f6ec574f38a638166c6018412eb6e499862f9f58af4284,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C06-X02/jump_highs_tagged_cover__mandatory_only.toml,d9cfd70766808c595f92323c22e8e9c43ee92ebbf62335a47b92502f5792a474
V2-B-N064-R032-C07-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,5,64,4.509723042,2.001917667,0.8121301872001012,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X01/jump_highs_tagged_cover__full_fixed_point.toml,62c047c8d6b9ce1f3c5d5b34539f99da7a7a9f2f95c48c7b0d25c609fb2acb18,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X01/jump_highs_tagged_cover__mandatory_only.toml,a8822e0c8024197ec5011497e3e400b8aa278193a8c4dbfd7d0917fd95fb07a2
V2-B-N064-R032-C07-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,6,44,4.511721084,1.063404084,1.445203533203385,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X02/jump_highs_tagged_cover__full_fixed_point.toml,c6c73ea32d4cb317c461c6be36e3379e5af62ea56399f64b54ea0fd392191711,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C07-X02/jump_highs_tagged_cover__mandatory_only.toml,6b5b2e6109dce0ef0d2d93660165adb8ba539e04652b2d3413e089fdbce1679c
V2-B-N064-R032-C08-X01,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,3,48,4.437154416,2.04742525,0.7734302455422232,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X01/jump_highs_tagged_cover__full_fixed_point.toml,e128f39be6d2693bdcf2099c57f4527cb7cf9550732a259c009a2c95e1757c70,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X01/jump_highs_tagged_cover__mandatory_only.toml,a74471ef25cd3728ca4cac02af0093b779f80e180b5abcc1d3e1a409280fd110
V2-B-N064-R032-C08-X02,structured,N64-R32,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,64,0,64,1.0,32,0,32,1.0,3,57,5.473320041,1.742790167,1.1443980136154934,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X02/jump_highs_tagged_cover__full_fixed_point.toml,33ec6f0cc4a26c3322b881496bc18bd8a7c175d1aa0a1ce1e377c14eb17fb4fe,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C08-X02/jump_highs_tagged_cover__mandatory_only.toml,089e4bdb4422a36a4b746381dd08ae5ca540f4da3cbcb41fddd6b30acb7a9684
V2-B-N064-R032-C09-X01,structured,N64-R32,GENERATION_FAILED,GENERATION_FAILED,,,,,,,,,,,1800.0,1800.0,0.0,,,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X01/jump_highs_tagged_cover__full_fixed_point.toml,85a6dacc0b15a558aba906755540bf8660e95fa006b6b3c39223be453967244a,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X01/jump_highs_tagged_cover__mandatory_only.toml,5afb907b2c5b7aef77a93c3f74b69ed8d7d292864019e0485c9e22000635e876
V2-B-N064-R032-C09-X02,structured,N64-R32,GENERATION_FAILED,GENERATION_FAILED,,,,,,,,,,,1800.0,1800.0,0.0,,,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X02/jump_highs_tagged_cover__full_fixed_point.toml,4efd2dc0bd88589967570ece341b2b83dccf3b7632c534c29bfb5072119ba03b,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C09-X02/jump_highs_tagged_cover__mandatory_only.toml,3a8f70d6d8d21eb9575133a9e2581faa895ff0938cab65ae05cf144ae60a756a
