trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
59,approx_operational,5,3,2,2//5,passive_value,1//10,385//384,1925//192,0//1,1925//192,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3,true
59,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,1925//192,0//1,1925//192,1925//192,0//1,1925//192,true,inactive,true
60,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2,true
60,innovation_safe,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_5,true
60,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2,true
60,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
61,frontier_only,5,3,2,2//5,none,0//1,0//1,1925//192,27//256,7781//768,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4,true
61,innovation_safe,5,5,0,0//1,none,0//1,0//1,1925//192,27//256,7781//768,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2;strategy_3;strategy_4,true
61,approx_operational,5,2,3,3//5,passive_value,1//10,385//384,875//96,81//512,14243//1536,175//192,-27//512,1319//1536,175//192,0//1,1319//1536,true,inactive;strategy_4,true
61,approx_generative,5,2,3,3//5,research_option_premium,1//20,27//5120,875//96,81//512,14243//1536,175//192,-27//512,1319//1536,175//192,0//1,1319//1536,true,inactive;strategy_4,true
62,frontier_only,4,2,2,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
62,innovation_safe,4,2,2,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
62,approx_operational,4,2,2,1//2,passive_value,1//10,35//32,2625//256,0//1,2625//256,175//256,0//1,175//256,175//256,0//1,175//256,true,inactive;strategy_2,true
