prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
100,factor,project_cost,low,frontier_only_mean_compression_ratio,mean,49,0,49,125//6,125//294,11//1568,,,,0.0119653463261,,,true
100,factor,project_cost,low,innovation_safe_mean_compression_ratio,mean,49,0,49,19//3,19//147,47//2352,,,,0.0201944593317,,,true
100,factor,project_cost,high,frontier_positive_loss_frequency,frequency,10,41,51,10//1,10//51,,Wilson descriptive simulation interval,0.110153425125,0.324580794814,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,high,mean_positive_frontier_loss,mean,10,41,10,662723//98304,662723//983040,4504135741//24159191040,,,,0.136541459633,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,project_cost,high,innovation_safe_loss_frequency,frequency,0,51,51,0//1,0//1,,Wilson descriptive simulation interval,0,0.0700466198985,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,high,silent_generative_asset_frequency,frequency,10,245,255,10//1,2//51,,Wilson descriptive simulation interval,0.0214383183279,0.0706700283385,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,high,substitution_frequency,frequency,11,40,51,11//1,11//51,,Wilson descriptive simulation interval,0.124939384082,0.34626359586,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,high,complementarity_frequency,frequency,0,51,51,0//1,0//1,,Wilson descriptive simulation interval,0,0.0700466198985,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,project_cost,high,frontier_only_mean_compression_ratio,mean,51,0,51,125//6,125//306,161//22950,,,,0.0117283388529,,,true
100,factor,project_cost,high,innovation_safe_mean_compression_ratio,mean,51,0,51,17//3,1//9,47//2700,,,,0.0184748941505,,,true
100,factor,duration,short,frontier_positive_loss_frequency,frequency,36,14,50,36//1,18//25,,Wilson descriptive simulation interval,0.58334876304,0.825258293341,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,short,mean_positive_frontier_loss,mean,36,14,36,1587097//32768,1587097//1179648,215672520823//193273528320,,,,0.176059704803,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,duration,short,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,short,silent_generative_asset_frequency,frequency,36,214,250,36//1,18//125,,Wilson descriptive simulation interval,0.105862568678,0.192912340563,,,,true
100,factor,duration,short,substitution_frequency,frequency,37,13,50,37//1,37//50,,Wilson descriptive simulation interval,0.604468427352,0.841284725064,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,short,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
